67,5;0;180;139,5;0;Yes;No;1;5
64,4;27,8;170,1;133,9;0;Yes;No;1;5
64,4;-27,8;189,9;133,9;0;Yes;No;1;5
60;0;180;132;0;Yes;No;1;5
67,5;0;180;130,5;0;Yes;No;1;5
57;23,4;171,9;127,3;0;Yes;No;1;5
57;-23,4;188,1;127,3;0;Yes;No;1;5
65,5;22,9;167,6;125,9;0;Yes;No;1;5
65,5;-22,9;192,4;125,9;0;Yes;No;1;5
52,5;0;180;124,5;0;Yes;No;1;5
60;0;180;123;0;Yes;No;1;5
67,5;0;180;121,5;0;Yes;No;1;5
49,7;19,6;173,4;120,6;0;Yes;No;1;5
49,7;-19,6;186,6;120,6;0;Yes;No;1;5
56,6;46;160,4;120,2;0;Yes;No;1;5
56,6;-46;199,6;120,2;0;Yes;No;1;5
57,9;19,7;169,5;119,1;0;Yes;No;1;5
57,9;-19,7;190,5;119,1;0;Yes;No;1;5
66,1;18,9;165,6;117,7;0;Yes;No;1;5
66,1;-18,9;194,4;117,7;0;Yes;No;1;5
45;0;180;117;0;Yes;No;1;5
52,5;0;180;115,5;0;Yes;No;1;5
49,2;40,1;164,1;115,3;0;Yes;No;1;5
49,2;-40,1;195,9;115,3;0;Yes;No;1;5
60,2;39,6;155,1;114,1;0;Yes;No;1;5
60,2;-39,6;204,9;114,1;0;Yes;No;1;5
60;0;180;114;0;Yes;No;1;5
42,5;16,3;174,5;113,8;0;Yes;No;1;5
42,5;-16,3;185,5;113,8;0;Yes;No;1;5
67,5;0;180;112,5;0;Yes;No;1;5
50,5;17;171;112,1;0;Yes;No;1;5
50,5;-17;189;112,1;0;Yes;No;1;5
58,5;16,7;167,4;110,7;0;Yes;No;1;5
58,5;-16,7;192,6;110,7;0;Yes;No;1;5
42,3;34,6;167;110,2;0;Yes;No;1;5
42,3;-34,6;193;110,2;0;Yes;No;1;5
37,5;0;180;109,5;0;Yes;No;1;5
66,6;15,4;164;109,4;0;Yes;No;1;5
66,6;-15,4;196;109,4;0;Yes;No;1;5
52,3;35,1;159;108,6;0;Yes;No;1;5
52,3;-35,1;201;108,6;0;Yes;No;1;5
45;0;180;108;0;Yes;No;1;5
62,6;33,7;151;107,7;0;Yes;No;1;5
62,6;-33,7;209;107,7;0;Yes;No;1;5
35,4;13,4;175,6;106,8;0;Yes;No;1;5
35,4;-13,4;184,4;106,8;0;Yes;No;1;5
52,5;0;180;106,5;0;Yes;No;1;5
43,1;14,5;172,4;105,1;0;Yes;No;1;5
43,1;-14,5;187,6;105,1;0;Yes;No;1;5
60;0;180;105;0;Yes;No;1;5
35,7;29,5;169,4;104,9;0;Yes;No;1;5
35,7;-29,5;190,6;104,9;0;Yes;No;1;5
51;14,6;169,1;103,6;0;Yes;No;1;5
51;-14,6;190,9;103,6;0;Yes;No;1;5
67,5;0;180;103,5;0;Yes;No;1;5
44,8;30,9;162,3;102,9;0;Yes;No;1;5
44,8;-30,9;197,7;102,9;0;Yes;No;1;5
46,4;56,3;150,9;102,6;0;Yes;No;1;5
46,4;-56,3;209,1;102,6;0;Yes;No;1;5
59;13,9;165,7;102,3;0;Yes;No;1;5
59;-13,9;194,3;102,3;0;Yes;No;1;5
30;0;180;102;0;Yes;No;1;5
54,6;30,4;154,8;101,6;0;Yes;No;1;5
54,6;-30,4;205,2;101,6;0;Yes;No;1;5
66,9;12,2;162,6;101,1;0;Yes;No;1;5
66,9;-12,2;197,4;101,1;0;Yes;No;1;5
64,3;28,1;147,8;101;0;Yes;No;1;5
64,3;-28,1;212,2;101;0;Yes;No;1;5
37,5;0;180;100,5;0;Yes;No;1;5
28,2;10,6;176,5;99,9;0;Yes;No;1;5
28,2;-10,6;183,5;99,9;0;Yes;No;1;5
29,3;24,5;171,5;99,5;0;Yes;No;1;5
29,3;-24,5;188,5;99,5;0;Yes;No;1;5
38,3;50,4;156,8;99,2;0;Yes;No;1;5
38,3;-50,4;203,2;99,2;0;Yes;No;1;5
45;0;180;99;0;Yes;No;1;5
35,8;12,1;173,7;98,1;0;Yes;No;1;5
35,8;-12,1;186,3;98,1;0;Yes;No;1;5
53,3;50,2;142,3;98,1;0;Yes;No;1;5
53,3;-50,2;217,7;98,1;0;Yes;No;1;5
52,5;0;180;97,5;0;Yes;No;1;5
37,7;26,7;165,2;97,2;0;Yes;No;1;5
37,7;-26,7;194,8;97,2;0;Yes;No;1;5
43,5;12,7;170,6;96,5;0;Yes;No;1;5
43,5;-12,7;189,4;96,5;0;Yes;No;1;5
60;0;180;96;0;Yes;No;1;5
31,4;44,5;161,4;95,8;0;Yes;No;1;5
31,4;-44,5;198,6;95,8;0;Yes;No;1;5
46,8;27,1;158,1;95,5;0;Yes;No;1;5
46,8;-27,1;201,9;95,5;0;Yes;No;1;5
51,4;12,4;167,2;95;0;Yes;No;1;5
51,4;-12,4;192,8;95;0;Yes;No;1;5
56,3;25,7;151,2;94,6;0;Yes;No;1;5
56,3;-25,7;208,8;94,6;0;Yes;No;1;5
67,5;0;180;94,5;0;Yes;No;1;5
22,5;0;180;94,5;0;Yes;No;1;5
65,5;22,6;145;94,3;0;Yes;No;1;5
65,5;-22,6;215;94,3;0;Yes;No;1;5
44,4;45,6;148,6;93,9;0;Yes;No;1;5
44,4;-45,6;211,4;93,9;0;Yes;No;1;5
23,1;19,7;173,3;93,9;0;Yes;No;1;5
23,1;-19,7;186,7;93,9;0;Yes;No;1;5
59,3;11,3;164,1;93,8;0;Yes;No;1;5
59,3;-11,3;195,9;93,8;0;Yes;No;1;5
